Year,Subject,Number,Course Title,GPA,Level,Subject Full Title
2024,AAS,100,Intro Asian American Studies,3.4400000000000004,100 Level Courses,Asian American Studies
2024,AAS,100,Intro Asian American Studies,3.788636363636364,100 Level Courses,Asian American Studies
2024,AAS,200,U.S. Race and Empire,3.8432352941176475,200 Level Courses,Asian American Studies
2024,ABE,152,Water in Global Environment,3.9508196721311477,100 Level Courses,Agricultural and Biological Eng
2024,ABE,498,Special Topics,3.9262222222222225,400 Level Courses,Agricultural and Biological Eng
2024,ACCY,200,Fundamentals of Accounting,3.556275510204082,200 Level Courses,Accountancy
2024,ACCY,200,Fundamentals of Accounting,3.6963822525597276,200 Level Courses,Accountancy
2024,ACCY,200,Fundamentals of Accounting,3.63972972972973,200 Level Courses,Accountancy
2024,ACCY,201,Accounting and Accountancy I,3.272138728323699,200 Level Courses,Accountancy
2024,ACCY,201,Accounting and Accountancy I,3.5832019704433495,200 Level Courses,Accountancy
2024,ACCY,201,Accounting and Accountancy I,3.7122727272727274,200 Level Courses,Accountancy
2024,ACCY,202,Accounting and Accountancy II,3.288405797101449,200 Level Courses,Accountancy
2024,ACCY,202,Accounting and Accountancy II,3.0593617021276596,200 Level Courses,Accountancy
2024,ACCY,202,Accounting and Accountancy II,3.621034482758621,200 Level Courses,Accountancy
2024,ACCY,301,Atg Measurement & Disclosure,3.545,300 Level Courses,Accountancy
2024,ACCY,301,Atg Measurement & Disclosure,3.167666666666667,300 Level Courses,Accountancy
2024,ACCY,301,Atg Measurement & Disclosure,3.1981249999999997,300 Level Courses,Accountancy
2024,ACCY,301,Atg Measurement & Disclosure,3.586206896551724,300 Level Courses,Accountancy
2024,ACCY,301,Atg Measurement & Disclosure,3.267,300 Level Courses,Accountancy
2024,ACCY,301,Atg Measurement & Disclosure,3.393214285714286,300 Level Courses,Accountancy
2024,ACCY,302,Decision Making for Atg,3.541875,300 Level Courses,Accountancy
2024,ACCY,302,Decision Making for Atg,3.6246875000000003,300 Level Courses,Accountancy
2024,ACCY,302,Decision Making for Atg,3.477666666666667,300 Level Courses,Accountancy
2024,ACCY,302,Decision Making for Atg,3.52125,300 Level Courses,Accountancy
2024,ACCY,302,Decision Making for Atg,3.3440625,300 Level Courses,Accountancy
2024,ACCY,302,Decision Making for Atg,3.313030303030303,300 Level Courses,Accountancy
2024,ACCY,303,Atg Institutions and Reg,3.64625,300 Level Courses,Accountancy
2024,ACCY,303,Atg Institutions and Reg,3.3661290322580646,300 Level Courses,Accountancy
2024,ACCY,303,Atg Institutions and Reg,2.756923076923077,300 Level Courses,Accountancy
2024,ACCY,303,Atg Institutions and Reg,3.6561290322580646,300 Level Courses,Accountancy
2024,ACCY,303,Atg Institutions and Reg,3.3859375,300 Level Courses,Accountancy
2024,ACCY,303,Atg Institutions and Reg,3.4478125,300 Level Courses,Accountancy
2024,ACCY,304,Accounting Control Systems,3.424545454545455,300 Level Courses,Accountancy
2024,ACCY,304,Accounting Control Systems,3.3448387096774193,300 Level Courses,Accountancy
2024,ACCY,304,Accounting Control Systems,3.3125,300 Level Courses,Accountancy
2024,ACCY,304,Accounting Control Systems,3.5003124999999997,300 Level Courses,Accountancy
2024,ACCY,304,Accounting Control Systems,3.4048484848484843,300 Level Courses,Accountancy
2024,ACCY,304,Accounting Control Systems,3.409090909090909,300 Level Courses,Accountancy
2024,ACCY,312,Principles of Taxation,3.5380769230769236,300 Level Courses,Accountancy
2024,ACCY,312,Principles of Taxation,3.0004166666666663,300 Level Courses,Accountancy
2024,ACCY,312,Principles of Taxation,3.4033333333333338,300 Level Courses,Accountancy
2024,ACCY,312,Principles of Taxation,3.374166666666667,300 Level Courses,Accountancy
2024,ACCY,312,Principles of Taxation,3.296666666666667,300 Level Courses,Accountancy
2024,ACCY,312,Principles of Taxation,3.3482608695652174,300 Level Courses,Accountancy
2024,ACCY,398,Practical Problems in Atg,3.898876404494382,300 Level Courses,Accountancy
2024,ACCY,405,Assurance and Attestation,3.6544444444444446,400 Level Courses,Accountancy
2024,ACCY,405,Assurance and Attestation,3.642222222222222,400 Level Courses,Accountancy
2024,ACCY,405,Assurance and Attestation,3.580740740740741,400 Level Courses,Accountancy
2024,ACCY,405,Assurance and Attestation,3.550769230769231,400 Level Courses,Accountancy
2024,ACCY,405,Assurance and Attestation,3.152272727272727,400 Level Courses,Accountancy
2024,ACCY,410,Advanced Financial Reporting,3.412857142857143,400 Level Courses,Accountancy
2024,ACCY,410,Advanced Financial Reporting,3.1063636363636364,400 Level Courses,Accountancy
2024,ACCY,410,Advanced Financial Reporting,3.3076923076923075,400 Level Courses,Accountancy
2024,ACCY,410,Advanced Financial Reporting,3.2563333333333335,400 Level Courses,Accountancy
2024,ACCY,410,Advanced Financial Reporting,3.4672,400 Level Courses,Accountancy
2024,ACCY,410,Advanced Financial Reporting,3.174074074074074,400 Level Courses,Accountancy
2024,ACCY,449,Tax in Action - VITA,3.9423076923076925,400 Level Courses,Accountancy
2024,ACCY,451,Advanced Income Tax Problems,3.6068181818181815,400 Level Courses,Accountancy
2024,ACCY,451,Advanced Income Tax Problems,3.2903225806451615,400 Level Courses,Accountancy
2024,ACCY,451,Advanced Income Tax Problems,3.682380952380952,400 Level Courses,Accountancy
2024,ACCY,451,Advanced Income Tax Problems,3.5058064516129033,400 Level Courses,Accountancy
2024,ACCY,500,"Atg Measuremnt, Rpting & Cntrl",3.8751434034416823,500+,Accountancy
2024,ACCY,501,Accounting Analysis I A,3.4929787234042555,500+,Accountancy
2024,ACCY,501,Accounting Analysis I B,3.500208333333333,500+,Accountancy
2024,ACCY,502,Accounting Analysis II A,3.505677966101695,500+,Accountancy
2024,ACCY,502,Accounting Analysis II B,3.446521739130434,500+,Accountancy
2024,ACCY,503,Managerial Accounting,3.27475,500+,Accountancy
2024,ACCY,503,Managerial Accounting A,3.5473456790123454,500+,Accountancy
2024,ACCY,503,Managerial Accounting B,3.636257668711657,500+,Accountancy
2024,ACCY,503,Managerial Accounting,3.8038174273858916,500+,Accountancy
2024,ACCY,503,Managerial Accounting,3.450259740259741,500+,Accountancy
2024,ACCY,507,Taxation of Bus Entities A,3.597313432835821,500+,Accountancy
2024,ACCY,507,Taxation of Bus Entities B,3.697777777777778,500+,Accountancy
2024,ACCY,510,Financial Reporting Standards,3.5,500+,Accountancy
2024,ACCY,510,Financial Reporting Standards,3.3983333333333334,500+,Accountancy
2024,ACCY,512,Data Analytics for Mgmt Acctg,3.827037037037037,500+,Accountancy
2024,ACCY,512,Data Analytics for Mgmt Acctg,3.7785714285714285,500+,Accountancy
2024,ACCY,517,Financial Statement Analysis,3.8469230769230767,500+,Accountancy
2024,ACCY,517,Financial Statement Analysis,3.8795454545454544,500+,Accountancy
2024,ACCY,518,Financial Statement Fraud,3.9776666666666665,500+,Accountancy
2024,ACCY,519,Govt & NFP Accounting,3.524285714285714,500+,Accountancy
2024,ACCY,551,Corporate Income Taxation,3.508095238095238,500+,Accountancy
2024,ACCY,552,Partnership Income Taxation,3.609714285714286,500+,Accountancy
2024,ACCY,571,Stat Analyses for Accountancy,3.862083333333333,500+,Accountancy
2024,ACCY,574,Risk Management and Innovation,3.892190476190476,500+,Accountancy
2024,ACCY,575,Data Analytics Apps in ACCY,3.7223333333333333,500+,Accountancy
2024,ACCY,575,Data Analytics Apps in ACCY,3.967741935483871,500+,Accountancy
2024,ACCY,575,Data Analytics Apps in ACCY,3.8018750000000003,500+,Accountancy
2024,ACCY,575,Data Analytics Apps in ACCY,3.789,500+,Accountancy
2024,ACCY,575,Data Analytics Apps in ACCY,3.8676,500+,Accountancy
2024,ACCY,576,Data Preparation for Accting,3.893829787234043,500+,Accountancy
2024,ACCY,577,Machine Learning for Accting,3.6514285714285712,500+,Accountancy
2024,ACCY,593,Disruption & Emerging Tech,3.9556666666666667,500+,Accountancy
2024,ACE,100,Intro to Applied Micro,2.8048275862068968,100 Level Courses,Agr & Consumer Economics
2024,ACE,100,Intro to Applied Micro,3.4336666666666664,100 Level Courses,Agr & Consumer Economics
2024,ACE,100,Intro to Applied Micro,3.4339999999999997,100 Level Courses,Agr & Consumer Economics
2024,ACE,161,Microcomputer Applications,3.608695652173913,100 Level Courses,Agr & Consumer Economics
2024,ACE,161,Microcomputer Applications,3.4285714285714284,100 Level Courses,Agr & Consumer Economics
2024,ACE,199,Applied Statistics Lab,3.8728571428571428,100 Level Courses,Agr & Consumer Economics
2024,ACE,199,"Women, Money and Power",3.4545454545454546,100 Level Courses,Agr & Consumer Economics
2024,ACE,210,Environmental Economics,3.1799038461538456,200 Level Courses,Agr & Consumer Economics
2024,ACE,221,Negotiation,3.839807692307693,200 Level Courses,Agr & Consumer Economics
2024,ACE,231,Food and Agribusiness Mgt,3.3905128205128205,200 Level Courses,Agr & Consumer Economics
2024,ACE,232,Farm Management,3.1638775510204082,200 Level Courses,Agr & Consumer Economics
